iter	Passed	Remaining
698	3783	1629
699	3788	1623
700	3794	1618
701	3799	1612
702	3804	1607
703	3809	1601
704	3814	1596
705	3819	1590
706	3824	1585
707	3829	1579
708	3834	1573
709	3840	1568
710	3845	1562
711	3850	1557
712	3855	1551
713	3860	1546
714	3865	1540
715	3869	1535
716	3875	1529
717	3880	1524
718	3886	1518
719	3890	1513
720	3896	1507
721	3901	1502
722	3906	1496
723	3911	1491
724	3916	1485
725	3921	1479
726	3926	1474
727	3932	1469
728	3937	1463
729	3943	1458
730	3948	1452
731	3953	1447
732	3958	1441
733	3963	1436
734	3968	1430
735	3974	1425
736	3979	1420
737	3984	1414
738	3989	1409
739	3994	1403
740	3999	1397
741	4004	1392
742	4009	1386
743	4014	1381
744	4019	1375
745	4024	1370
746	4029	1364
747	4035	1359
748	4040	1353
749	4045	1348
750	4050	1343
751	4055	1337
752	4061	1332
753	4066	1326
754	4070	1321
755	4076	1315
756	4081	1310
757	4086	1304
758	4091	1299
759	4096	1293
760	4101	1288
761	4106	1282
762	4111	1277
763	4116	1271
764	4121	1266
765	4126	1260
766	4132	1255
767	4138	1250
768	4163	1250
769	4171	1246
770	4179	1241
771	4185	1236
772	4191	1230
773	4197	1225
774	4203	1220
775	4209	1215
776	4214	1209
777	4220	1204
778	4225	1198
779	4230	1193
780	4236	1187
781	4241	1182
782	4246	1176
783	4251	1171
784	4257	1165
785	4265	1161
786	4272	1156
787	4278	1151
788	4285	1146
789	4292	1141
790	4299	1136
791	4305	1130
792	4311	1125
793	4317	1120
794	4325	1115
795	4331	1110
796	4337	1104
797	4343	1099
798	4349	1094
799	4355	1088
800	4361	1083
801	4366	1077
802	4371	1072
803	4376	1066
804	4380	1061
805	4386	1055
806	4391	1050
807	4396	1044
808	4402	1039
809	4408	1034
810	4413	1028
811	4418	1022
812	4422	1017
813	4428	1011
814	4432	1006
815	4438	1000
816	4442	995
817	4447	989
818	4452	984
819	4457	978
820	4462	973
821	4468	967
822	4472	961
823	4478	956
824	4483	951
825	4488	945
826	4493	940
827	4499	934
828	4504	929
829	4509	923
830	4514	918
831	4519	912
832	4524	907
833	4529	901
834	4534	896
835	4539	890
836	4545	885
837	4550	879
838	4556	874
839	4563	869
840	4579	865
841	4584	860
842	4590	854
843	4596	849
844	4602	844
845	4608	838
846	4614	833
847	4619	827
848	4624	822
849	4630	817
850	4634	811
851	4640	806
852	4645	800
853	4650	795
854	4655	789
855	4660	784
856	4665	778
857	4670	772
858	4675	767
859	4680	761
860	4685	756
861	4692	751
862	4697	745
863	4702	740
864	4708	734
865	4714	729
866	4718	723
867	4724	718
868	4729	712
869	4734	707
870	4739	701
871	4744	696
872	4749	690
873	4755	685
874	4760	680
875	4766	674
876	4771	669
877	4776	663
878	4782	658
879	4787	652
880	4792	647
881	4797	641
882	4801	636
883	4807	630
884	4812	625
885	4817	619
886	4822	614
887	4827	608
888	4832	603
889	4837	597
890	4842	592
891	4847	586
892	4852	581
893	4857	575
894	4862	570
895	4867	564
896	4872	559
897	4877	554
898	4882	548
899	4887	543
900	4892	537
901	4898	532
902	4903	526
903	4908	521
904	4913	515
905	4918	510
906	4924	504
907	4928	499
908	4934	493
909	4939	488
910	4943	482
911	4948	477
912	4954	472
913	4959	466
914	4964	461
915	4968	455
916	4975	450
917	4980	444
918	4995	440
919	5003	435
920	5009	429
921	5015	424
922	5021	418
923	5026	413
924	5032	408
925	5036	402
926	5041	397
927	5046	391
928	5051	386
929	5056	380
930	5061	375
931	5067	369
932	5071	364
933	5076	358
934	5081	353
935	5086	347
936	5091	342
937	5096	336
938	5102	331
939	5107	326
940	5112	320
941	5117	315
942	5123	309
943	5128	304
944	5133	298
945	5138	293
946	5142	287
947	5147	282
948	5152	276
949	5157	271
950	5162	266
951	5167	260
952	5172	255
953	5178	249
954	5183	244
955	5189	238
956	5195	233
957	5200	228
958	5206	222
959	5211	217
960	5217	211
961	5222	206
962	5228	200
963	5233	195
964	5238	189
965	5243	184
966	5248	179
967	5254	173
968	5258	168
969	5263	162
970	5268	157
971	5273	151
972	5278	146
973	5283	141
974	5288	135
975	5293	130
976	5298	124
977	5303	119
978	5308	113
979	5313	108
980	5318	103
981	5323	97
982	5328	92
983	5333	86
984	5339	81
985	5343	75
986	5348	70
987	5353	65
988	5358	59
989	5363	54
990	5368	48
991	5374	43
992	5379	37
993	5385	32
994	5390	27
995	5396	21
996	5401	16
997	5421	10
998	5427	5
999	5434	0
