iter	Passed	Remaining
404	8510	12503
405	8547	12505
406	8568	12484
407	8590	12464
408	8611	12442
409	8629	12418
410	8646	12391
411	8664	12365
412	8682	12340
413	8701	12316
414	8729	12306
415	8764	12304
416	8788	12287
417	8806	12262
418	8826	12239
419	8845	12214
420	8865	12192
421	8884	12169
422	8902	12142
423	8922	12121
424	8943	12100
425	8971	12087
426	8989	12062
427	9011	12043
428	9029	12018
429	9047	11992
430	9065	11968
431	9085	11945
432	9103	11921
433	9122	11897
434	9141	11872
435	9161	11851
436	9180	11828
437	9202	11808
438	9219	11781
439	9237	11756
440	9255	11731
441	9275	11709
442	9293	11685
443	9313	11663
444	9331	11638
445	9350	11614
446	9369	11591
447	9389	11568
448	9412	11551
449	9434	11530
450	9452	11507
451	9470	11482
452	9488	11457
453	9506	11433
454	9527	11412
455	9546	11389
456	9565	11365
457	9585	11343
458	9605	11321
459	9623	11297
460	9642	11273
461	9662	11252
462	9682	11230
463	9701	11206
464	9722	11185
465	9740	11162
466	9762	11141
467	9778	11115
468	9795	11090
469	9816	11069
470	9843	11055
471	9863	11033
472	9882	11011
473	9904	10990
474	9922	10966
475	9941	10943
476	9959	10919
477	9977	10895
478	9996	10872
479	10015	10849
480	10034	10827
481	10053	10804
482	10079	10788
483	10136	10807
484	10161	10789
485	10182	10768
486	10201	10746
487	10219	10722
488	10240	10701
489	10261	10680
490	10284	10661
491	10304	10639
492	10323	10616
493	10347	10598
494	10364	10573
495	10381	10549
496	10399	10525
497	10421	10504
498	10439	10481
499	10458	10458
500	10477	10435
501	10495	10412
502	10517	10391
503	10537	10370
504	10557	10348
505	10576	10326
506	10596	10304
507	10616	10282
508	10634	10258
509	10653	10235
510	10672	10212
511	10692	10190
512	10711	10168
513	10734	10150
514	10758	10131
515	10776	10108
516	10797	10087
517	10816	10064
518	10834	10040
519	10855	10020
520	10875	9998
521	10892	9973
522	10909	9950
523	10927	9926
524	10948	9905
525	10971	9886
526	10990	9864
527	11008	9840
528	11028	9818
529	11048	9797
530	11068	9775
531	11086	9752
532	11105	9730
533	11123	9707
534	11146	9688
535	11172	9671
536	11189	9647
537	11209	9625
538	11233	9608
539	11250	9584
540	11268	9560
541	11287	9538
542	11306	9515
543	11322	9491
544	11342	9469
545	11359	9445
546	11379	9424
547	11397	9401
548	11417	9379
549	11448	9367
550	11475	9351
551	11496	9330
552	11515	9308
553	11540	9290
554	11561	9270
555	11589	9254
556	11607	9231
557	11628	9210
558	11646	9188
559	11667	9167
560	11684	9143
561	11701	9120
562	11720	9097
563	11739	9075
564	11757	9052
565	11779	9031
566	11800	9011
567	11817	8987
568	11835	8965
569	11857	8945
570	11874	8921
571	11892	8898
572	11911	8876
573	11929	8853
574	11947	8830
575	11965	8808
576	11986	8787
577	12017	8774
578	12047	8759
579	12068	8739
580	12088	8718
581	12106	8694
582	12124	8672
583	12145	8651
584	12164	8629
585	12181	8606
586	12202	8585
587	12223	8564
588	12240	8541
589	12258	8518
590	12274	8494
591	12298	8475
592	12320	8455
593	12337	8432
594	12356	8410
595	12372	8386
596	12392	8365
597	12411	8343
598	12432	8322
599	12458	8305
600	12479	8284
601	12499	8263
602	12519	8242
603	12536	8219
604	12555	8197
605	12571	8173
606	12590	8151
607	12611	8131
608	12628	8107
609	12646	8085
610	12666	8064
611	12684	8041
612	12703	8019
613	12727	8001
614	12763	7990
615	12786	7971
616	12805	7948
617	12823	7926
618	12845	7906
619	12864	7884
620	12887	7865
621	12904	7842
622	12926	7822
623	12947	7801
624	12964	7778
625	12984	7757
626	13002	7735
627	13020	7712
628	13039	7690
629	13059	7669
630	13079	7648
631	13096	7625
632	13114	7603
633	13132	7581
634	13151	7559
635	13170	7537
636	13189	7515
637	13209	7494
638	13225	7471
639	13243	7449
640	13260	7426
641	13280	7405
642	13309	7389
643	13329	7368
644	13349	7347
645	13370	7326
646	13387	7304
647	13405	7282
648	13423	7259
649	13441	7237
650	13458	7215
651	13477	7193
652	13494	7171
653	13519	7152
654	13542	7133
655	13566	7114
656	13585	7092
657	13605	7071
658	13623	7049
659	13642	7028
660	13662	7006
661	13681	6985
662	13701	6964
663	13721	6943
664	13748	6926
665	13769	6905
666	13788	6884
667	13806	6861
668	13824	6840
669	13843	6818
670	13862	6796
671	13883	6776
672	13903	6755
673	13921	6733
674	13942	6713
675	13961	6691
676	13981	6670
677	14001	6649
678	14019	6627
679	14037	6605
680	14056	6584
681	14075	6563
682	14094	6541
683	14110	6518
684	14140	6502
685	14182	6491
686	14224	6480
687	14245	6460
688	14267	6440
689	14288	6419
690	14307	6397
691	14328	6377
692	14349	6356
693	14370	6336
694	14392	6316
695	14412	6295
696	14431	6273
697	14450	6252
698	14469	6230
699	14490	6210
700	14509	6188
701	14529	6167
702	14549	6146
703	14569	6125
704	14595	6107
705	14617	6087
706	14634	6064
707	14654	6043
708	14677	6024
709	14698	6003
710	14720	5983
711	14740	5962
712	14760	5941
713	14783	5921
714	14805	5901
715	14825	5880
716	14849	5860
717	14868	5839
718	14890	5819
719	14910	5798
720	14930	5777
721	14951	5756
722	14970	5735
723	14989	5714
724	15009	5693
725	15033	5673
726	15061	5655
727	15081	5634
728	15101	5613
729	15121	5592
730	15143	5572
731	15161	5550
732	15183	5530
733	15204	5510
734	15224	5489
735	15249	5470
736	15274	5450
737	15298	5431
738	15323	5411
739	15348	5392
740	15370	5372
741	15391	5351
742	15411	5330
743	15431	5309
744	15453	5289
745	15487	5273
746	15534	5261
747	15571	5245
748	15593	5225
749	15619	5206
750	15644	5186
751	15670	5167
752	15691	5147
753	15732	5132
754	15755	5112
755	15777	5092
756	15799	5071
757	15818	5050
758	15837	5028
759	15857	5007
760	15876	4986
761	15900	4966
762	15920	4945
763	15939	4923
764	15957	4902
765	15979	4881
766	16000	4860
767	16021	4839
768	16040	4818
769	16063	4798
770	16084	4777
771	16101	4755
772	16122	4734
773	16140	4712
774	16170	4694
775	16191	4673
776	16211	4652
777	16232	4632
778	16252	4610
779	16270	4589
780	16291	4568
781	16311	4547
782	16331	4526
783	16353	4505
784	16374	4484
785	16395	4463
786	16415	4442
787	16433	4421
788	16455	4400
789	16476	4379
790	16497	4358
791	16516	4337
792	16539	4317
793	16560	4296
794	16591	4278
795	16610	4257
796	16629	4235
797	16652	4215
798	16670	4193
799	16689	4172
800	16708	4151
801	16728	4129
802	16747	4108
803	16766	4087
804	16790	4067
805	16819	4048
806	16847	4029
807	16869	4008
808	16889	3987
809	16910	3966
810	16930	3945
811	16949	3924
812	16970	3903
813	16987	3881
814	17010	3861
815	17038	3841
816	17056	3820
817	17079	3800
818	17099	3779
819	17119	3757
820	17140	3737
821	17161	3716
822	17179	3694
823	17198	3673
824	17250	3659
825	17279	3640
826	17301	3619
827	17322	3598
828	17343	3577
829	17365	3556
830	17384	3535
831	17405	3514
832	17426	3493
833	17448	3473
834	17469	3452
835	17490	3431
836	17511	3410
837	17534	3389
838	17556	3368
839	17574	3347
840	17594	3326
841	17613	3305
842	17632	3283
843	17653	3263
844	17674	3242
845	17703	3222
846	17723	3201
847	17745	3180
848	17767	3159
849	17786	3138
850	17804	3117
851	17824	3096
852	17842	3074
853	17862	3053
854	17884	3033
855	17906	3012
856	17925	2991
857	17945	2969
858	17966	2949
859	17986	2927
860	18005	2906
861	18024	2885
862	18044	2864
863	18065	2843
864	18083	2822
865	18102	2801
866	18125	2780
867	18153	2760
868	18175	2739
869	18198	2719
870	18218	2698
871	18236	2676
872	18257	2656
873	18278	2635
874	18297	2613
875	18315	2592
876	18338	2572
